Episode,Timestep,Reward
1,364,-556.799
2,728,-543.093
3,1092,-432.783
4,1456,-140.420
5,1820,-146.140
6,2184,-144.717
7,2548,-177.099
8,2912,-171.440
9,3276,-152.797
10,3640,-118.121
11,4004,-129.437
12,4368,-129.986
13,4732,-85.607
14,5096,-77.646
15,5460,-70.220
16,5824,-75.148
17,6188,-70.775
18,6552,-56.025
19,6916,-56.478
20,7280,-69.761
21,7644,-65.984
22,8008,-69.231
23,8372,-77.635
24,8736,-58.700
25,9100,-64.291
26,9464,-72.170
27,9828,-60.115
28,10192,-75.409
29,10556,-70.926
30,10920,-59.508
31,11284,-72.209
32,11648,-62.107
33,12012,-65.854
34,12376,-64.404
35,12740,-68.613
36,13104,-60.343
37,13468,-51.181
38,13832,-58.830
39,14196,-45.250
40,14560,-52.415
41,14924,-65.220
42,15288,-62.448
43,15652,-63.997
44,16016,-76.901
45,16380,-53.890
46,16744,-57.956
47,17108,-57.371
48,17472,-58.780
49,17836,-50.821
50,18200,-45.618
